seoul	jeju
몰라 나 근데 지금 옷 안 산지 한 삼 년 넘었어	몰라 나 근데 지금 옷 안 산지 한 삼 년 넘언
그거는 좀 맥아리 없어	그거는 좀 맥아리 어서
야 근데 이제  망했잖아	야 근데 이제  망했네
매장이 문을 닫는대 이제	매장이 문을 닫는댄 이제
명동 망했어	명동 망핸
명동 망했어 이제 진짜	명동 망핸 이제 진짜
건물세도 못 내서 막 폐업하는 데도 많던데?뉴스에서 보니까	건물세도 못 내가지고 막 폐업하는 데도 많던디?뉴스에서 보니까
중앙로도 중앙로에 아직 안 간지도 존나 오래됐어	중앙로도 중앙로에 아직 안 간지도 존나 오래됀
중앙로 살리려고 막 카페랑 이런 거 많이 생겼던데?	중앙로 살리잰 막 카페랑 이런 거 많이 생겼던디?
지금 중앙로 망했어?	지금 중앙로 망핸?
거의 망했지 않아?	거의 망했지 안?
시청에 너무 많이 들어왔나?	시청에 너무 많이 들어와신가?
나 한 번 갔었는데?	나 한 번 갔어신디?
나 한 번도 안 가 봤어	나 한 번도 안 가 봔
그거 지금도 하고 있어	그거 지금도 하고 인
참새분식은 처음 들어보는데	참새분식은 처음 들어봠신디
아니 모닥치기 아니야	아니 모닥치기 아니
이름이 막 사랑식 막 이런 거였어	이름이 막 사랑식 막 이런 거연
모닥치기 아니야?	모닥치기 아니?
나 김녕중 다닐 때 #이	나 김녕중 다닐 때 이
탑동만 나가면 우리 무조건 존나 꾸며서 가서	탑동만 나가면 우리 무조건 존나 꾸명 가그넹
존나 꾸며서 가서 점심밥	존나 꾸명 가그넹 점심밥
돈 막 이천 원씩 모아서	돈 막 이천 원씩 모아그넹
사랑식 그거 먹어서	사랑식 그거 먹엉
타가다 타가지고 뭐 그러면서 놀다가	타가다 타가지고 뭐 겅하멍 놀당
그때 우리 난 시청에 나와본 적이 없어	그때 우리 난 시청에 나와본 적이 어서
그니까 나 오현중 오현중 전학 가면서 시청 뭐 인제 시청 이런 데를 알았어	게난 나 오현중 오현중 전학 가면서 시청 뭐 인제 시청 이런 데를 알안
나 김녕중 다닐 땐 우리 애들 버스 맨 뒷자리 무조건 다섯 명 싹 타서	나 김녕중 다닐 땐 우리 애들 버스 맨 뒷자리 무조건 다섯 명 싹 타그넹
거의 막 전장 나가듯이 가서	거의 막 전장 나가듯이 가그넹
막 가서	막 가그넹
막 뽄부려서?	막 뽄부령?
그때 사진 보면#이	그때 사진 보믄이
그런거 유행 유행 타서	그런거 유행 유행 타부니까
나는 찐탱 샀어	나는 찐탱 샀언
나는 진짜 몰랐어	나는 진짜 몰란
근데 있잖아	근데 있네
평균적으로 이 년이 느렸어?	평균적으로 이 년이 느련?
내가  를 어 내가  를 초딩 때 입었는데	내가  를 어 내가  를 초딩 때 입어신디
쯤에 여기서 애들이 막 입기 시작하는 거야?	쯤에 여기서 애들이 막 입기 시작하는 거?
얘네는 이걸 지금 하고 있는 이런 거야	얘네는 이걸 지금 하고 있는 이런 거
그렇긴 한데 그래서 머리 같은 거는 많이는 안 느렸어	그렇긴 한데 그래서 머리 같은 거는 많이는 안 느련
근데 옷은 진짜 확실히 느렸어 진짜	근데 옷은 진짜 확실히 느련 진짜
맥가이버는 뭐야?	맥가이버는 뭐?
중학교 삼 학년 때 레전드였는데	중학교 삼 학년 때 레전드여신디
근데 웃긴 게 #이 코치님한테 맨날이	근데 웃긴 게이 
위에 거 다 잘라서 오래	위에 거 다 잘랑 오랜
야 반삭 잘 어울리는 사람이 어디 있어?	야 반삭 잘 어울리는 사람이 어디 인?
나 입술 튼 거 이렇게 안 돌아올 거야?	나 입술 튼 거 이렇게 안 돌아올 거?
아니 그러니까 터서 그런 거야? 아니면 수분이 없어서 그런 거야? 나 수분 많이 먹었는데	아니 그러니까 터부난 그런 거? 아니면 수분이 없어서 그런 거? 나 수분 많이 먹어신디
겨울이잖아.	겨울이네.
나 지금 이틀 동안 술 안 먹었는데?	나 지금 이틀 동안 술 안 먹어신디?
술 먹을 때 오이 먹으려고	술 먹을 때 오이 먹을라고
야 그러면#이 거기 사람들 주인장들이 다 싫어해	야 겅하믄이 거기 사람들 주인장들이 다 싫어하매
야 그런 소리하지 마라.	야 그런 소리하지 말라.
그런 소리하지 마라.	그런 소리하지 말라.
어 나 그 코로나 예방을 할라고 해서	어 나 그 코로나 예방을 할라고 해가지고
진짜 나댄다#이	진짜 와렴져이
너 특별하다 #게	너 요망지다 게
많이 끼라 #게	많이 끼라 게
그러게 #이	게매 이
옛날에는 일 박 이 일 봤었어	옛날에는 일 박 이 일 봤언
왜 안 봐? 완전 재밌는데	무사 안 보맨? 완전 재미이신디
그거 일 박 이 일 느낌이야	그거 일 박 이 일 느낌이라
난 이번에 시험 준비할 때 시사만 계속 봤었어	난 이번에 시험 준비할 때 시사만 계속 봤언
뉴스 틀어서 아침에 일어나면 뉴스 틀고	뉴스 틀엉 아침에 일어나면 뉴스 틀고
그런데 이제 시험 끝나니깐 #이 시사도 안 봐	그런데 이제 시험 끝나니깐이  시사도 안 봠쪄
뉴스 뭐 뭐 때문에 봤어?	뉴스 뭐 뭐 때문에 봔?
그런데 시사를 이빠이 공부해서 갔는데	그런데 시사를 이빠이 공부행 가신디
하나 도 안 나왔어.	하나 도 안 나완.
밥 먹다가 티비 하나 봤는데	밥 먹다그넹 티비 하나 봐신디
그런 면이 있어.	그런 면이 이서.
다 있어. 나도	다 이서. 나도
그럼 이 지금 야 얘가 뭐	그럼 이 지금 야 야이가 뭐
이번에 일육학번 사학과에 걔가 스토리텔링 이에서 천번만 현씨 였거든 걔가	이번에 일육학번 사학과에 가이가 스토리텔링 이에서 천번만 현씨 였거든 가이가
천광무 한 삼십개를 해온거야.	천광무 한 삼십개를 해온거라.
그걸 교수님이 막 칭찬한 거야	그걸 교수님이 막 칭찬한 거
어 그래서 걔가 열 장을 써온 거야	어 그래서 걔가 열 장을 써온 거
아 그것보다 #이	아 그것보다 이
좀 걔가	좀 가이가
일 육 아니야?	일 육 아니?
어쩌 현 현이야. 현씨 근데 현 씨가 제주도엔 많지만 학과에는 적지 않아? 한 두 명 밖에 없지 않아?	어쩌 현 현이야. 현씨 근데 현 씨가 제주도엔 많지만 학과에는 적지 안? 한 두 명 밖에 없지 안?
아 나도 찾아볼게	아 나도 찾아보클
기다려봐. 기다려봐. 아닐 수도 있어. 기다려봐. 기다려봐.	기다려봐. 기다려봐. 아닐 수도 이서. 기다려봐. 기다려봐.
아? 언니 눈 발바닥에 달렸어?	아? 언니 눈 발바닥에 달련?
모르겠다. 짜증나 그냥 짜증나게 생겼어.	모르켜. 짜증나 그냥 짜증나게 생견.
다들 역사 공부를 열심히 해 가지고 #이	다들 역사 공부를 열심히 해 가지고 이
잘 하고 있을 겁니다.	잘 하고 있을 거우다.
잘하고 있을 겁니다. 너무 걱정하지 마십시오.	잘하고 있을 거우다. 너무 걱정하지 맙서.
우리도 사실 잘 모릅니다.	우리도 사실 잘 모르우다.
 모르겠습니다. 모르겠습니다.	 모르쿠다. 모르쿠다.
아 미안해. 너희들은 교수님한테 그 막 -추- 추석이나 설날에 문자 보내봤어?	아 미안해. 너희들은 교수님한테 그 막 -추- 추석이나 설날에 문자 보내봔?
난 안 보냈어.	난 안 보낸.
나 보내봤어.	나 보내봔.
너 너랑  둘 중에 한 명 하지 않았어?	너 너랑  둘 중에 한 명 하지 않안?
나 스승의 날에 한 번 해봤어.	나 스승의 날에 한 번 해봔.
난 내 스승이 지금 학교에 없어서	난 내 스승이 지금 학교에 없어부난
사학과 누구 입니다. 잘 지내십니까?	사학과 누구 우다. 잘 지냅수광?
그 분 술 취한 채로 나랑 악수했어.	그 분 술 취한 채로 나랑 악수핸.
나 내가 녹음하고 있는 거야 지금	나 내가 녹음하고 있는 거 지금
아 근데 나 되게 -굉- 좋았어.	아 근데 나 되게 -굉- 좋안.
특별대우 받았어. 혼자	특별대우 받안. 혼자
그래서 우리 엄마가 나 처음에 미국에서 오자마자 하는 얘기가 아이고 있잖아 #이	그래서 우리 엄마가 나 처음에 미국에서 오자마자 하는 얘기가 아이고 있잖아 이
그전에 이 시설과장 막 좋은 사람이고 우리 키티도 잘도 예뻐해주는 사람인데	그전에 이 시설과장 막 좋은 사람이고 우리 키티도 잘도 예뻐해주는 사람인디
이제 관둔다고 해가지고 아이고 왜 관두나 해가지고 물어봤더니 아이고 내가 #예	이제 관둔댄 해가지고 아이고 무사 관둼신가 해가지고 물어봤더니 아이고 나가 예
물고문 고춧가루 고문은 들어봐도 #예 이 말고문은 들어보지 못했는데 나 #예	물고문 고춧가루 고문은 들어봐도 예 이 말고문은 들어보지 못해신디 나 예
말 때문에 못살겠어요 하면서 나갔대	말 때문에 못살쿠다 하멍 나갔댄
커피 커피 마시러 왔더라고 아직 나 그 경로당에 있으니까 그러니까 한 번은	커피 커피 마시러 왔더라고 아직 나 그 경로당에 이시난 겅허난 한 번은
저 #양 나 키키 한 번 #양 우리 데려갈게여 하니까	저 양 나 키키 한 번 양 우리 데령가쿠다 하난
아이고 데려가서 살려만 봐바 살	아이고 데령가그내 살려만 봐바 살
그날 밤 돌아올 거야 하면서 막 했지 그럽니까? 하면서 그러니까 이제	그날 밤 돌아올 거라 하멍 막 했주게 경합니까? 하멍 경허난 이제
나 사표 내려고요 하길래 어우 왜 왜 왜요 난 이랬지 그러니까	나 사표 내잰마씸 하길래 어우 무사게 무사 무사마씸 난 영했주게 경허난
저요 고춧가루요 고문하고요	나양 고칫가루양 고문하고양
아 물고문은 들어봐도요 말고문은 이거 처음이다는 거야	아 물고문은 들어봐도양 말고문은 이거 처음이다는 거라
#양 오죽해야 그 사람 매우 좋은 사람이야	양 오죽해야 그 사람 잘도 좋은 사람이라
그니까 빨리 막	게난 빨리 막
이 아파트 대표나 똑같은 사람이에요	이 아파트 대표나 똑같은 사람이우다
그니까	게난
대표가 몇 년 전부터 #이	대표가 몇 년 전부터 이
아니 저기 저 소방서에서 점검이 온 거야 그니까 사람있는 데는	아니 저기 저 소방서에서 점검이 온 거라 게난 사람있는 데는
점검하고 없는 데를 띵똥 해서 없으면 했지 근데 그 집이 마침	점검하고 없는 데를 띵똥 행 어시믄 했주 겐디 그 집이 마침
사람 있으니 저것이 없어진 거야 그래서 왜 이거 없앴냐고 그니까 벌금 이백 몇 십만 원 나왔다고 하더라고	사람 있으니 저것이 없어진 거라 갱 왜 이거 없앴냐고 게난 벌금 이백 몇 십만 원 나왔댄 허드라고
그랬다고 하는 거야 그니까 자기는 무슨 소방 점검 왔는데 그것도 나중에야 해서 알았지	경했댄 하는 거라 게난 자기는 무슨 소방 점검 와신디 그것도 나중에사 핸 알았지
어? 그것도 그냥 리모델링 하면서 없앴나봐 저걸 몰라 가지고	어? 그것도 그냥 리모델링 하멍 없앤생이라게 저걸 몰라 가지고
아 그니까 몰라서 제거 하는데 근데 불법업자가 아니면 저거는 기본적으로 알아야 되는 거거든	아 그니까 몰라서 제거 하는데 근데 불법업자가 아니믄 저거는 기본적으로 알아야 되는 거거든
소방법에 있습니다 하는데 이제 그 딸도 아빠 닮아 가지고	소방법에 있습니다 하는데 이제 그 딸도 아방 닮아 가지고
그리고 막 탕탕탕 하면서 하니까는 이제 주민들이	겨고 막 탕탕탕 허멍 허니까는 이제 주민들이
이제 뭐가 들어오니까는 가서 아이고 조용히 하자 좀 하라고	이제 뭐가 들어오니까는 가서 아이고 조용히 하게 좀 하라고
그렇게해서 좀 잔소리를 했나봐 아 그러거든 저 민원 들어오면	경행 좀 잔소리를 한생이라 아 경허주게 저 민원 들어오믄
소장사 가서 말해질 거 아니야?	소장사 가그내 말해질 거 아니라?
앞에 가서 써 붙이면 사람들이 조금 이해를 해야지	앞에 강 써 붙이면 사람들이 조금 이해를 해야지
어 아니 그러는데 그렇게를 안 했는가들	어 아니 경허는디 경을 안 해신가들
써 붙이지 않았나?	써 붙이지 않애신가?
이 잘 지내면 그런 공사를 해 가지고 아이고 너무 죄송합니다 #예	이 잘 지내면 그런 공사를 해 가지고 아이고 너무 죄송합니다 예
아이구 #게 우리 여기 공사해서 #예 막 시끄럽지 #예 아고 죄송합니다 #예	아이구 게 우리 여기 공사해부난 예 막 시끄럽지 예 아고 죄송합니다 예
가서 #예 뭐 떡이라도 하나	가서 예 뭐 떡이라도 하나
사가서 아이고 너무 미안합니다 #예	상강으내 아이고 너무 미안하우다 예
아이고 이거 우리 공사해서 #예 빨리 어떻게 어떻게 할게요	아이고 이거 우리 공사해부난 예 빨리 어떵 어떵 허쿠다게
애기 있는데 #예 막 못 자죠 하고	애기 이신디 예 막 못 잠지예 하고
그렇게만 하면 #예	그렇게만 하믄 예
아무리 시끄러워도 그렇게와서 떡 사와서 막 미안하다고 하고	아무리 시끄러워도 겅왕으내 떡 상와그내 막 미안하댄 하고
자기네 공사해야 되니까 어쩔 수 없이 한다고 하면	자기네 공사해야 되니까 어쩔 수 어시 한댄 하믄
이해할 거 아니야? 불편해도 근데 그런 식으로 일을 안 처리하고	이해할 거 아니? 불편해도 근데 그런 식으로 일을 안 처리하고
서울은 #예 우리 조카가 아파트 사서 이사갔어 아파트 사서 이사를 갔는데	육지는 예 우리 조카가 아파트 상 이사가서 아파트 상 이사를 가신디
뭘 받아야 된대 집을 고치려고 하면은 그 동의를 #양 그 동의 하는데 #양	뭘 받아야 된됀 집을 고치잰 하면은 그 동의를 양 그 동의 하는디 양
저 그 사람을 사 가지고 오십만 원 줘서 샀대요 고 그 그런거 받아 주는 사람이 또 있대	저 그 사람을 사 가지고 오십만 원 줭 샀댄햄수게 고 그 그런거 받아 주는 사람이 또 있댄
오십 만원 줘가지고는 집집마다 다니면서 그 동네 사람 이 사람	오십 만원 줘가지고는 집집마다 댕기면서 그 동네 사람 이 사람
